id,name,name_en,birth_year,death_year,era,region,gender,occupation,major_achievement,historical_significance,famous_quote,personality_trait,fun_fact,modern_comparison,if_alive_today,recommended_for,trivia_level,catchphrase,hint1,hint2,hint3
11,源義経,Minamoto no Yoshitsune,1159,1189,平安時代末期,日本,男性,武将,源平合戦で活躍した悲劇のヒーロー,天才的な戦術で平家を滅ぼすも兄に追われた,「勝つことのみを知りて、負くるを知らざれば」,純粋、天才肌,身長が低くてイケメンだった。弁慶との関係は相棒,若き天才アスリート,プロゲーマーかeスポーツ選手、戦術系YouTuber,ゲーム好き・戦略好き・判官びいき,78,「天才は理解されない運命」,兄との確執、そして奥州への逃避行…悲劇の影を背負い、時代の波に翻弄された。,一ノ谷、屋島、壇ノ浦…天才的な戦術で数々の勝利をもたらした、平安末期の武士。,源平合戦において、平家を滅亡に導く大きな役割を果たした、源頼朝の弟。
12,葛飾北斎,Katsushika Hokusai,1760,1849,江戸時代,日本,男性,浮世絵師,「富嶽三十六景」で世界的に有名,ゴッホやモネに影響を与えた,「60歳までの作品はとるに足らない」,超職人気質、引っ越し魔,生涯で93回も引っ越しをした。90歳まで現役,世界的アーティスト,デジタルアーティスト、NFTクリエイター,アート好き・職人気質・完璧主義,87,「70歳からが本番」,大波の裏に隠された霊峰への憧憬。庶民の日常を切り取り、遠近の妙で世界を魅了した。,風景版画に革命を起こし、西洋の技法を取り入れながらも、日本の美を追求した浮世絵師。,富士山を様々な場所から描いた連作は、彼の名を不朽のものとした。
13,伊藤博文,Ito Hirobumi,1841,1909,明治,日本,男性,政治家,初代内閣総理大臣、憲法を制定,近代日本の政治制度を確立,「我が国の独立を保つ」,社交的、女好き,実は相当な女好きで有名。暗殺される,近代化を進めた政治家,政治家、国際関係の専門家,政治好き・歴史好き・国際派,80,「西洋に学び日本を作る」,動乱の時代を駆け抜け、近代国家の礎を築いた。欧米列強に追いつけと、夜明けを告げる鐘を鳴らした。,日本の舵取りを任され、政治の舞台で辣腕を振るった。法律という名の羅針盤を作り、国を導いた。,初代総理大臣として、日本の近代化に尽力。憲法制定に深く関わり、国の形を定めた。
14,福沢諭吉,Fukuzawa Yukichi,1835,1901,幕末〜明治,日本,男性,啓蒙思想家,「学問のすゝめ」で教育の重要性を説く,慶應義塾を創設し近代教育を推進,「天は人の上に人を造らず」,合理的、革新的,お酒が大好きで毎日飲んでいた。一万円札の肖像,教育系インフルエンサー,教育系YouTuber、オンラインスクール経営,教育好き・起業家・自己啓発好き,93,「学べば人生変わる」,開国という荒波の中、人々の精神の独立こそが日本の進むべき道だと説いた。,教育こそが国の礎。ペンと舌で、封建社会の眠りから人々を目覚めさせた。,「天は人の上に人を造らず人の下に人を造らず」、学問の重要性を説いた『学問のすゝめ』の著者。
15,手塚治虫,Tezuka Osamu,1928,1989,昭和〜平成,日本,男性,漫画家,「鉄腕アトム」「ブラック・ジャック」を生み出す,現代漫画の父、アニメ産業の基礎を作った,「マンガは無限の可能性を持っている」,完璧主義、働き者,1日3時間しか寝ずに漫画を描き続けた,宮崎駿×鳥山明,漫画家兼アニメ監督、メディアミックス展開,漫画好き・アニメ好き・クリエイター,91,「漫画で世界を変える」,戦後の焼け跡に、未来への希望と人間への深い洞察を描き出した。,ペンとインクで、少年少女の夢を彩り、医療の倫理を問い続けた。,アトムとブラック・ジャック、二つの顔を持つ国民的ヒーローを生み出した漫画家。
16,ナポレオン・ボナパルト,Napoleon Bonaparte,1769,1821,近代,フランス,男性,軍人・皇帝,ヨーロッパの大部分を支配した,近代的な法典ナポレオン法典を制定,「不可能という言葉は辞書にない」,野心家、戦略的天才,身長は当時の平均で低くなかった。手を懐に入れるポーズが有名,カリスマ的な軍事指導者,戦略コンサルタント、ビジネス書のベストセラー作家,歴史好き・戦略好き・野心家,89,「勝利こそ全て」,革命の炎が生んだ、一人の男の野望。大陸を席巻するその影は、栄光と没落の象徴となる。,軍事的天才にして政治家。その名は、法典となり、大陸の秩序を塗り替えた。,フランス革命後、皇帝の座に上り詰め、ワーテルローの戦いで終焉を迎えた英雄。
17,クレオパトラ7世,Cleopatra VII,-69,-30,古代,エジプト,女性,女王,カエサルやアントニウスと同盟,絶世の美女として知られるが実は知性で魅了した,「美しさは武器」,知的、魅力的,9ヶ国語を話せた超才女。美貌より知性で勝負,インフルエンサー兼政治家,美容系インフルエンサー兼実業家,美容好き・語学好き・歴史好き,84,「美しさより頭脳」,ナイルの真珠と謳われた美貌は、ローマの権力者たちをも魅了し、その国の命運を左右した。,外交手腕と知性で国を統治し、強大な隣国との関係を巧みに操った女王。,ガイウス・ユリウス・カエサル、マルクス・アントニウスという、ローマの英雄たちと同盟を結んだ最後のファラオ。
18,レオナルド・ダ・ヴィンチ,Leonardo da Vinci,1452,1519,ルネサンス,イタリア,男性,芸術家・科学者,「モナ・リザ」「最後の晩餐」を描いた,絵画だけでなく解剖学、工学など多分野で業績,「シンプルさは究極の洗練」,完璧主義者、飽きっぽい,左利きで鏡文字を書いた。ベジタリアンだった,イーロン・マスク×バンクシー,マルチクリエイター、Notion使いこなしてそう,クリエイター・多趣味・完璧主義,97,「ちょっと全部やりたい」,万能の天才。光と影、理想と現実が交錯する時代に、人類の知的好奇心を刺激した。,筆とメスを手に、芸術と科学の境界線を越え、人体の神秘や空を飛ぶ夢を追い求めた。,微笑みの奥に秘められた謎、最後の晩餐の食卓。彼の作品は今もルーブル美術館を彩る。
19,モーツァルト,Wolfgang Amadeus Mozart,1756,1791,古典派,オーストリア,男性,作曲家,600曲以上を作曲した天才音楽家,クラシック音楽史上最高の作曲家の一人,「音楽は言葉にできない感情を表現する」,天真爛漫、子供っぽい,下ネタ好きで手紙に下品な冗談を書いていた,モーツァルト級の天才,音楽プロデューサー、TikTokで曲がバズってそう,音楽好き・天才肌・自由人,86,「天才は常識知らず」,優雅な宮廷で響き渡る旋律、その調べは時代を超えて今もなお。,鍵盤の上を舞う指先、オペラや協奏曲など、様々な形式で音を紡ぎ出す。,600曲以上を作曲した、音楽史に名を残すオーストリア出身の天才。
20,アインシュタイン,Albert Einstein,1879,1955,現代,ドイツ→アメリカ,男性,理論物理学者,相対性理論を発表,E=mc²で質量とエネルギーの等価性を示した,「想像力は知識より重要」,天然ボケ、超個性的,靴下を履くのが嫌いで一生履かなかった,変人系天才YouTuber,理系YouTuber「直感で理解する物理学」配信,理系・個性派・天才肌,98,「常識なんて相対的さ」,時計台の針が、絶対的な真実を指し示すとは限らない時代に、思考実験を通して宇宙の根源を問い続けた。,特許庁の職員でありながら、時間と空間の概念を根底から覆す理論を構築し、物理学の世界に革命を起こした。,E=mc²の式で知られ、質量とエネルギーの等価性を示し、原子力の利用に道を開いた理論物理学者。
21,マリー・キュリー,Marie Curie,1867,1934,近代,ポーランド→フランス,女性,物理学者,ノーベル賞を2回受賞,女性初のノーベル賞受賞者,「人生において恐れるものは何もない」,超ストイック、研究一筋,放射性物質を「きれい」と言ってポケットに入れた,マララ・ユスフザイ的パイオニア,STEM教育のインフルエンサー,理系女子・頑張り屋さん・パイオニア,92,「ガラスの天井？ぶち破るわよ」,科学の進歩が目覚ましい時代、未知なる元素の探求に情熱を燃やした。彼女の発見は、人々の健康と未来に大きな光を灯した。,物理学と化学の分野で、放射能という新たな可能性を切り拓いた研究者。その功績は、研究室から医療現場まで、世界を大きく変えた。,異なる分野で2度のノーベル賞を受賞した、ポーランド生まれの女性科学者。放射性元素の発見とその研究で名を馳せた。
22,マハトマ・ガンディー,Mahatma Gandhi,1869,1948,現代,インド,男性,政治指導者,非暴力・不服従運動でインド独立,武器を使わず対話と平和的抵抗で独立を達成,「明日死ぬかのように生きよ」,穏やか、超頑固,実は若い頃はオシャレ好きで弁護士だった,グレタ・トゥーンベリ的活動家,社会派YouTuber、ミニマリスト系インフルエンサー,平和主義・ミニマリスト・哲学好き,88,「暴力より対話、これ最強」,「私の命は、メッセージだ」と語った人物。質素な生活と、不屈の精神で世界を揺るがした。,弁護士の肩書きを持ちながら、民衆を導き、非暴力の抵抗によって、帝国の支配に立ち向かった。,塩の行進を率い、インド独立の父と呼ばれた。
23,マザー・テレサ,Mother Teresa,1910,1997,現代,インド,女性,修道女,貧困層への献身的な奉仕,ノーベル平和賞受賞、愛の伝道者,「愛の反対は憎しみではなく無関心」,献身的、強い意志,実は頑固で「私のやり方で」を貫いた,社会貢献活動家,NPO代表、社会起業家,ボランティア好き・宗教的・献身的,83,「小さなことに大きな愛を」,カルカッタの夜に咲いた、一輪の白い花。その香りは、絶望の淵にいる人々に希望を届けた。,祈りの手で施し、愛の言葉で癒す。彼女の仕事場は、世界で最も貧しい場所だった。,ノーベル平和賞を受賞した、献身的な修道女。貧困に苦しむ人々への無償の愛は、世界を動かした。
24,シェイクスピア,William Shakespeare,1564,1616,近世,イギリス,男性,劇作家,「ハムレット」など37作の戯曲,400年後も世界中で上演される,「生きるべきか死ぬべきか」,ドラマチック、皮肉屋,本名の綴りが毎回違う。肖像画が確実なものがない,脚本家×プロデューサー,映画監督かドラマ脚本家、Netflix作品制作,文学好き・演劇好き・恋愛体質,94,「人生は舞台、みんな役者さ」,彼の言葉は、時代を超えて響き、人間の心を映し出す鏡となる。愛憎、野望、そして運命が織りなす壮大な物語。,ペンは剣よりも強し。舞台を舞台裏を想像力を駆使して、数々のドラマを生み出した。,「生きるべきか死ぬべきか、それが問題だ。」この有名な台詞は、彼の代表作の一つに登場する。
25,ベートーヴェン,Ludwig van Beethoven,1770,1827,古典〜ロマン派,ドイツ,男性,作曲家,「運命」「第九」など不朽の名作,耳が聞こえなくなっても作曲を続けた,「苦悩を突き抜けて歓喜に至れ」,頑固、情熱的,完全に聴力を失っても傑作を生み出した。超偏屈,逆境を跳ね返す天才,音楽プロデューサー、逆境系モチベーション講演家,音楽好き・逆境に強い・頑固者,90,「耳が聞こえなくても音楽は作れる」,疾走する運命、歓喜に満ちた合唱。時代を超越する調べは、苦悩の中から生まれた。,鍵盤を叩き、楽譜を埋め尽くした音楽家。聴覚を失いながらも、情熱を音に変えた。,「運命」や「第九」を作曲。ドイツ出身で、クラシック音楽の巨匠として知られる。
26,ピカソ,Pablo Picasso,1881,1973,現代,スペイン,男性,画家,キュビスムを創始,20世紀美術の革命家,「芸術は真実を悟らせる嘘である」,多産、情熱的,生涯で5万点以上の作品を制作。恋多き男,現代アートの革命児,現代アーティスト、NFT長者,アート好き・革新的・情熱的,85,「ルールは破るためにある」,20世紀の芸術に革命を起こした、視覚の解体者。多角的な視点から世界を再構築し、固定概念を揺さぶった。,絵筆とカンヴァスを手に、形態の実験を繰り返したスペイン出身の芸術家。対象を分解し、再構成することで、新たな美を生み出した。,キュビスムの創始者として知られる画家。ゲルニカなどの作品を通して、戦争の悲惨さや社会へのメッセージを表現した。
27,チャップリン,Charlie Chaplin,1889,1977,現代,イギリス,男性,映画俳優,「モダン・タイムス」など喜劇映画,サイレント映画の巨匠,「人生はクローズアップで見れば悲劇」,ユーモラス、社会派,左利きで完璧主義者。同じシーンを何百回も撮り直した,コメディアン兼社会批評家,お笑い芸人兼映画監督、YouTuber,映画好き・お笑い好き・完璧主義,81,「笑いで世界を変える」,社会の歯車に翻弄されながらも、涙とユーモアで時代を風刺した放浪者。,モノクロの世界で、パントマイムとコミカルな動きで観客を魅了した。,『モダン・タイムス』などで知られる、20世紀を代表する喜劇俳優。
28,リンカーン,Abraham Lincoln,1809,1865,近代,アメリカ,男性,大統領,奴隷解放宣言を発布,南北戦争を統一へ導き奴隷制を廃止,「人民の人民による人民のための政治」,誠実、ユーモア好き,身長193cmの長身でプロレスラー級。うつ病に悩んだ,理想主義的リーダー,人権派弁護士、政治家,正義感強い・歴史好き・理想主義,87,「全ての人に自由を」,分裂の危機に瀕した国家を、不屈の精神で導いた。その言葉は、今も自由と平等の象徴として輝きを放つ。,弁護士から政治家へ転身し、国民の信託を受け最高指導者の座に。人道的見地から、不当な束縛からの解放を宣言した。,ゲティスバーグでの演説は有名。奴隷解放宣言を発布し、アメリカ合衆国の歴史に大きな足跡を残した大統領。
29,ケネディ,John F. Kennedy,1917,1963,現代,アメリカ,男性,大統領,アメリカ史上最年少の大統領,キューバ危機を乗り越え宇宙開発を推進,「国があなたに何をしてくれるかではなく」,カリスマ的、若々しい,暗殺の瞬間が映像に残る初めての大統領,若きカリスマリーダー,政治家、スタートアップCEO,政治好き・理想主義・若者,79,「若さは武器」,冷戦下の希望の灯火。大胆な理想と影が交錯した、若きリーダー。,宇宙への挑戦を掲げた、20世紀後半の国の舵取り役。,キューバ危機を乗り越え、国民にアポロ計画への夢を語ったアメリカ大統領。
30,チンギス・ハン,Genghis Khan,1162,1227,中世,モンゴル,男性,軍事指導者,史上最大の帝国を築いた,ユーラシア大陸の大部分を征服,「最大の喜びは敵を倒すこと」,冷酷、戦略家,遺伝子研究で現在1600万人が子孫という説,征服者、グローバル展開の達人,グローバル企業CEO、M&A専門家,野心家・戦略好き・グローバル志向,77,「世界は俺のもの」,草原の風が運んだのは、統一の狼煙か、破壊の足音か。その名は、やがて世界を震わせる。,騎馬民族を率い、卓越した戦略で領土を拡大。彼の軍隊は、ユーラシア大陸を駆け抜けた。,13世紀、史上最大級の帝国を築き上げた。その名は、世界征服の代名詞。
31,武田信玄,Takeda Shingen,1521,1573,戦国時代,日本,男性,武将,「風林火山」の軍旗で有名,最強の戦国武将の一人,「人は城、人は石垣」,戦略家、慎重派,実は信長より強かったかも。病死がなければ天下取れた説,戦略的な経営者,経営コンサルタント、戦略系YouTuber,戦略好き・慎重派・歴史好き,82,「最強の敵は自分の体調」,甲斐の虎と呼ばれ、その存在は敵にとって山のように重く、動けば嵐のようだった。,戦国時代、領土経営にも才覚を発揮した武将。金山開発や治水事業にも力を注いだ。,「風林火山」の旗印を掲げ、無敵を誇った騎馬軍団を率いたことで知られる。
32,上杉謙信,Uesugi Kenshin,1530,1578,戦国時代,日本,男性,武将,「越後の龍」と恐れられた,義を重んじる戦国武将,「義を見てせざるは勇なきなり」,義理堅い、ストイック,実は女性説がある。生涯独身で酒好き,正義感の強いリーダー,義理人情系YouTuber、武道家,義理堅い・ストイック・日本酒好き,76,「義のために戦う」,毘沙門天の化身とも謳われた、義を重んじる孤高の戦国大名。その旗印は、勝利への渇望と慈悲深き心を表す。,関東管領代を務め、幾多の合戦で卓越した軍略を披露した武将。宿敵との川中島の戦いは語り草。,「越後の龍」と恐れられ、塩を送る逸話でも知られる戦国時代の英雄。武田信玄と激戦を繰り広げた。
33,明智光秀,Akechi Mitsuhide,1528,1582,戦国時代,日本,男性,武将,本能寺の変で信長を討つ,3日天下で有名な悲劇の武将,「敵は本能寺にあり」,知的、繊細,実は教養人で文化人。信長にパワハラされてた説,裏切り者の代名詞,戦略家だが運がない人、ビジネス書著者になれず,歴史好き・繊細な人・戦略家,74,「タイミングって大事」,織田家の家臣でありながら、その心には深い葛藤と野心が秘められていた。京の都を舞台に、歴史を揺るがす決断を下す。,戦国時代の武将として、優れた軍略家でありながら、和歌や連歌にも通じた文化人。主君に対する謀反という、前代未聞の行動に出る。,1582年、本能寺で主君を討った人物。その後の天下人となるべく行動するも、すぐに敗北し短い生涯を終えた。
34,伊達政宗,Date Masamune,1567,1636,戦国〜江戸時代,日本,男性,武将,奥州の独眼竜,遅れてきた天下人候補、オシャレ武将,「馳走とは旬の品をさり気なく出す」,オシャレ、国際派,片目を失っても派手な格好。スペインに使節を送った,オシャレ系リーダー,ファッション系実業家、グローバル企業経営者,オシャレ好き・料理好き・国際派,73,「遅刻組でもスタイルで勝負」,隻眼の龍が、みちのくの地に独自の文化を築き上げた。その眼に映った未来は、天下統一か、それとも...,戦国の世を駆け抜け、仙台の礎を築いた武将。伊達男の語源とも。,奥州の独眼竜と呼ばれ、仙台藩の初代藩主となった人物。
35,真田幸村,Sanada Yukimura,1567,1615,戦国〜江戸時代,日本,男性,武将,大坂の陣で徳川を追い詰めた,日本一の兵と称えられた,「関東勢百万と候え」,勇猛、忠義,真っ赤な鎧で有名。最後まで豊臣に忠誠を尽くした,判官びいきの英雄,スポーツ選手、熱血系YouTuber,スポーツ好き・忠義・判官びいき,71,「負け戦でも全力で」,赤備えに身を包み、不屈の精神で乱世を駆け抜けた、戦国時代の終焉を飾る最後の輝き。,大坂の陣で、天下を掌握した豪傑を苦しめた、類まれなる戦術家。その名は後世に轟く。,徳川家康をあと一歩まで追い詰めた、伝説的な武将。その勇猛果敢な姿は、今も語り継がれる。
36,卑弥呼,Himiko,175,248,古代,日本,女性,女王,邪馬台国の女王,日本最古の記録に残る女性リーダー,「鬼道を以て衆を惑わす」,神秘的、カリスマ,詳細不明だが中国の歴史書に記録が残る,古代のミステリアスな女性リーダー,スピリチュアル系インフルエンサー,歴史好き・ミステリー好き・女性,68,「謎が多いほど魅力的」,倭国の時代、シャーマニズム的な力で人々を統治したという女王。彼女の存在は、謎に包まれた古代日本のロマンを掻き立てる。,大陸との交流を示す鏡を多数所有し、使者を派遣して朝貢を行ったとされる。その政治手腕は、後の時代にも大きな影響を与えた。,30余国を従え、魏に使節を送ったとされる、邪馬台国の女王。その名は、日本の古代史において特別な輝きを放つ。
37,空海,Kukai,774,835,平安時代,日本,男性,僧侶,真言宗の開祖,高野山を開き密教を広めた,「虚空尽き、衆生尽き、涅槃尽きなば、我が願いも尽きん」,天才、マルチタレント,書道・建築・教育と多才。温泉を掘り当てた伝説も,宗教家兼マルチクリエイター,僧侶兼教育者、書道家,宗教好き・書道好き・多才な人,70,「宗教も学問も芸術も全部やる」,遣唐使船に乗り、遥か異国の地で密教の奥義を体得。帰国後、日本に新たな思想の光をもたらした。,曼荼羅の世界を言葉と文字で表現し、人々の心を豊かにする寺院を山中に建立した。,四国八十八ヶ所霊場の開創に関わったとも言われ、書にも才能を発揮した真言宗の開祖。
38,源頼朝,Minamoto no Yoritomo,1147,1199,平安〜鎌倉時代,日本,男性,武将,鎌倉幕府を開いた,武家政権の創始者,「武士の世を作る」,冷徹、政治的,弟義経を追い詰めた。落馬で死亡説,組織作りの天才,政治家、大企業の創業者,組織好き・政治好き・冷静,75,「組織が全て」,武士の世を開く狼煙は、奥州から立ち上った。その炎は、都の権威を焼き尽くすほどに。,鎌倉を拠点に、東国の武士たちを束ねた。その号令は、新たな統治機構の礎となった。,征夷大将軍に任じられ、鎌倉幕府を開いた。武家政権の祖として、歴史に名を刻む。
39,北条時宗,Hojo Tokimune,1251,1284,鎌倉時代,日本,男性,執権,元寇を撃退した,モンゴル帝国の侵攻を2度退けた,「国難に屈せず」,冷静、決断力,神風で勝ったと言われるが実は戦略的勝利,危機管理のプロ,危機管理コンサルタント、防衛専門家,歴史好き・危機管理好き・冷静,66,「ピンチをチャンスに」,異国の風が吹き荒れる中、国の命運を一身に背負い、静かに決断を下した若き指導者。その名は、泰然自若とした精神と共に歴史に刻まれる。,武士政権の中枢に立ち、国防の要として辣腕を振るった。迫りくる未曽有の危機に、全国の御家人を束ねて立ち向かった。,二度にわたる大襲来を退け、日本の独立を守り抜いた鎌倉幕府の執権。その時代は、神風という言葉と共に語り継がれる。
40,足利尊氏,Ashikaga Takauji,1305,1358,南北朝〜室町時代,日本,男性,武将,室町幕府を開いた,南北朝時代を作った複雑な人物,「武家の棟梁たらん」,優柔不断、人情家,裏切り者のイメージだが実は人望があった,複雑な政治家,政治家、バランス感覚の人,歴史好き・政治好き・複雑な性格,62,「どっちつかずも戦略」,動乱の世、二つの朝廷が天下を争う時代。武士の棟梁として、新たな秩序を築き上げた。,武家の棟梁として鎌倉幕府を倒し、武士政権を樹立。しかし、その政権は長く安定しなかった。,室町幕府を開き、初代征夷大将軍となった人物。後醍醐天皇との対立は歴史の大きな転換点。
